Name;Year;Durasi(Menit);Rating;Budget;Gross_US;Opening_Week;Open_Week_Date;Gross_World;Runtime;Color;Sound_Mix;Aspect_Ratio
Disaster Movie;2008;87;PG-13;20000000;14190901;5836973;31/08/2008 00:00;34816824;87;Color;"SDDS; Dolby Digital; DTS";1.85 : 1
Superbabies: Baby Geniuses 2;2004;88;PG;20000000;9219388;3251856;29/08/2004 00:00;9448644;88;Color;"DTS; Dolby Digital; SDDS";2.35 : 1
Kirk Cameron's Saving Christmas;2014;79;PG;500000;2783970;992087;16/11/2014 00:00;2783970;79;Color;Dolby Digital;1.85 : 1
House of the Dead;2003;90;R;12000000;10249719;5500000;12/10/2003 00:00;13818181;90;Color;"DTS; Dolby Digital";1.85 : 1
Son of the Mask;2005;94;PG;84000000;17018422;7700000;20/02/2005 00:00;59981548;94;Color;"DTS; Dolby Digital; SDDS";"1.85 : 1; 16:9 HD"
Epic Movie;2007;86;PG-13;20000000;39739367;18612544;28/01/2007 00:00;87238158;86;Color;"Dolby Digital; SDDS; DTS";1.85 : 1
Battlefield Earth;2000;117;PG-13;73000000;21471685;11548898;14/05/2000 00:00;29725663;117;Color;"DTS; Dolby Digital; SDDS";2.35 : 1
Alone in the Dark;2005;96;R;20000000;5178569;2834421;30/01/2005 00:00;12693645;96;Color;"DTS; Dolby Digital; SDDS";2.35 : 1
Dragonball Evolution;2009;85;PG;30000000;9362785;4756488;12/04/2009 00:00;55720772;85;Color;"Dolby; DTS";2.35 : 1
From Justin to Kelly;2003;81;PG;12000000;4928883;2715848;22/06/2003 00:00;4928883;81;Color;"Dolby Digital; DTS";1.85 : 1
Meet the Spartans;2008;87;PG-13;30000000;38233676;18505530;27/01/2008 00:00;85897593;87;Color;"SDDS; DTS; Dolby Digital";1.85 : 1
Gigli;2003;121;R;54000000;6087542;3753518;03/08/2003 00:00;7266209;121;Color;"DTS; Dolby Digital; SDDS";2.39 : 1
Date Movie;2006;83;PG-13;20000000;48548426;19076261;19/02/2006 00:00;85749034;83;Color;"Dolby Digital; DTS";1.85 : 1
Cats;2019;110;PG;95000000;27166770;6619870;22/12/2019 00:00;75558925;110;Color;"Dolby Digital; Dolby Atmos; 12-Track Digital Sound; Dolby Surround 7.1; DTS:X; Auro 11.1; D-Cinema 96kHz 7.1";2.39 : 1
Baby Geniuses;1999;97;PG;12000000;27250736;5613587;14/03/1999 00:00;36450736;97;Color;"SDDS; Dolby Digital";"2.39 : 1; 1.85 : 1"
Glitter;2001;104;PG-13;22000000;4274407;2414596;23/09/2001 00:00;5272594;104;Color;"DTS; Dolby Digital; SDDS";"2.39 : 1; 2.35 : 1"
Jaws: The Revenge;1987;89;PG-13;23000000;20763013;7154890;19/07/1987 00:00;51881013;89;Color;Dolby Stereo;2.35 : 1
BloodRayne;2005;95;R;25000000;2405420;1550000;08/01/2006 00:00;3650275;95;Color;"Dolby Digital; SDDS; DTS";2.35 : 1
Winnie-the-Pooh: Blood and Honey;2023;84;Not Rated;100000;1750639;652482;19/02/2023 00:00;4940331;84;Color;"Dolby Atmos; Dolby Digital";2.39 : 1
Left Behind;2014;110;PG-13;16000000;14019924;6300147;05/10/2014 00:00;27405896;110;Color;"SDDS; Datasat; Dolby Digital; Dolby Atmos; 12-Track Digital Sound; DTS; Dolby Surround 7.1; D-Cinema 96kHz 7.1";16:09
Jack and Jill;2011;91;PG;79000000;74158157;25003575;13/11/2011 00:00;149673788;91;Color;"SDDS; Datasat; Dolby Digital; Dolby Surround 7.1";1.85 : 1
Rollerball;2002;98;PG-13;70000000;18990798;9013548;10/02/2002 00:00;25852764;98;Color;"DTS; Dolby Digital; SDDS";2.39 : 1
Catwoman;2004;104;PG-13;100000000;40202379;16728411;25/07/2004 00:00;82402379;104;Color;"DTS; Dolby Digital; SDDS";2.35 : 1
Kazaam;1996;93;PG;20000000;18937262;5001588;21/07/1996 00:00;18937262;93;Color;Dolby Digital;1.85 : 1
Steel;1997;97;PG-13;16000000;1710972;870068;17/08/1997 00:00;1801972;97;Color;"DTS; Dolby Digital; SDDS";1.85 : 1
Vampires Suck;2010;82;PG-13;20000000;36661504;12202831;22/08/2010 00:00;80547866;82;Color;"Dolby; DTS; Dolby Surround 7.1; SDDS";1.85 : 1
The Emoji Movie;2017;86;PG;50000000;86089513;24531923;30/07/2017 00:00;217776646;86;Color;"Dolby Atmos; Dolby Digital; Dolby Surround 7.1";2.39 : 1
Tees Maar Khan;2010;135;Not Rated;4200000;1076443;539793;26/12/2010 00:00;13681934;135;Color;Dolby Digital;2.35 : 1
Dumb and Dumberer: When Harry Met Lloyd;2003;85;PG-13;19000000;26276465;11100000;15/06/2003 00:00;39267515;85;Color;"DTS; Dolby Digital; SDDS";1.85 : 1
Scary Movie V;2013;86;PG-13;20000000;32015787;14157367;14/04/2013 00:00;78378744;86;Color;Dolby Digital;1.85 : 1
Texas Chainsaw Massacre: The Next Generation;1994;87;R;600000;185898;28235;24/09/1995 00:00;185898;87;Color;Ultra Stereo;1.85 : 1
The Master of Disguise;2002;80;PG;16000000;40388794;12554650;04/08/2002 00:00;43411001;80;Color;"DTS; Dolby Digital; SDDS";1.85 : 1
Daddy Day Camp;2007;93;PG;6000000;13235267;3402678;12/08/2007 00:00;18197398;93;Color;"Dolby Digital; SDDS; DTS";1.85 : 1
Bratz;2007;110;PG;20000000;10010209;4208455;05/08/2007 00:00;26013153;110;Color;"DTS; Dolby; Dolby Digital";2.39 : 1
Feardotcom;2002;101;R;40000000;13258249;5710128;01/09/2002 00:00;18902015;101;Color;"DTS; Dolby Digital; SDDS";2.35 : 1
Mortal Kombat: Annihilation;1997;95;PG-13;30000000;35927406;16771694;23/11/1997 00:00;51376861;95;Color;"Dolby Digital; SDDS";1.85 : 1
Barb Wire;1996;98;R;9000000;3793614;1844426;05/05/1996 00:00;3793614;98;Color;Dolby Digital;1.85 : 1
Batman & Robin;1997;125;PG-13;125000000;107353792;42872605;22/06/1997 00:00;238259307;125;Color;"DTS; Dolby Digital; SDDS; Dolby Atmos";1.85 : 1
Spy Kids All the Time in the World;2011;89;PG;27000000;38538188;11644672;21/08/2011 00:00;85564310;89;Color;"Dolby Digital; DTS; SDDS; Datasat";1.85 : 1
